link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683884dff7a971e786099513,Dead,Al Make Me Laugh Lonardo,26.0,4.0,54969550.0,13742387.5,336160.0,3:21:22:40
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839ed3c7cfb4fbd4c0345ff,Dead,Craig the Wrench,8.0,22.0,303213882.0,13782449.181818182,343404.0,3:23:23:24
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683924d8b31fca5e210d0e8b,Dead,SDB NoUnderwearNoDiapers,12.0,18.0,251861305.0,13992294.722222222,325985.0,3:18:33:05
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683dc1aba94e54d17e06c749,Dead,Stormi,3.0,27.0,378754156.0,14027931.703703703,342501.0,3:23:08:21
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388c899c9e6d943c100f18,Dead,Shaftoli The Tax man,15.0,15.0,211459826.0,14097321.733333332,286992.0,3:07:43:12
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b395a2320f80c48084685,Dead,C H E F,8.0,22.0,311297407.0,14149882.136363637,176530.0,2:01:02:10
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b8a723b3cd68877065ce6,Dead,Rosa Machine Gun Caponigro,9.0,21.0,299295141.0,14252149.57142857,197287.0,2:06:48:07
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68395bd6c6f06c47680a8872,Dead,Cristiano Bullet Tooth Biondo,21.0,9.0,128805481.0,14311720.111111112,306181.0,3:13:03:01
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839ab21d1f7ff509b0b62bd,Dead,PronessDave,15.0,15.0,216156034.0,14410402.266666668,326479.0,3:18:41:19
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aadb94bfce18c4e08fc71,Dead,Cristiano Bullet Tooth Biondo,13.0,17.0,245032973.0,14413704.294117646,301941.0,3:11:52:21
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b1e7f15f3e1a8b40e1252,Dead,Gonzo,21.0,9.0,130087594.0,14454177.111111112,169650.0,1:23:07:30
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b32d1d4eeefc266040177,Dead,Two Scoops,10.0,20.0,290727462.0,14536373.1,335986.0,3:21:19:46
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a045379724be7c5023f8c,Dead,nynaeve,20.0,10.0,145433034.0,14543303.4,266329.0,3:01:58:49
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683911cc364783fef70f7200,Dead,G8R,11.0,19.0,276673515.0,14561763.94736842,261747.0,3:00:42:27
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a303426f33bc6a00e505e,Dead,Paul Machine Gun Abbandando,23.0,7.0,102204387.0,14600626.714285716,292825.0,3:09:20:25
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838943edf3be1ed9c0039f3,Dead,Bombastic,20.0,10.0,146223221.0,14622322.1,344623.0,3:23:43:43
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838ad1f0978235d630fb731,Dead,Kiwi big bob,16.0,14.0,204919102.0,14637078.714285716,295331.0,3:10:02:11
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a9488db17c48200cd24d,Dead,ghada la belle,20.0,10.0,147841342.0,14784134.2,332524.0,3:20:22:04
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683da0c94feff6ca4404457e,Dead,Claudio Crazy Mangler Carrone,9.0,21.0,310944978.0,14806903.714285716,334074.0,3:20:47:54
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838852a2660ea76bd031866,Dead,Naughty Boy,17.0,13.0,193501058.0,14884696.76923077,323275.0,3:17:47:55
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b4b544f52e9845d03f773,Dead,Baby Kins,4.0,26.0,388667105.0,14948734.807692308,342248.0,3:23:04:08
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683cf2ba6dbc923f980fad16,Dead,John Wick the Quick,7.0,23.0,343861929.0,14950518.652173912,289513.0,3:08:25:13
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aa5fdea5f912ed30e2e44,Dead,JC Greasy Enforcer,7.0,23.0,344222092.0,14966177.91304348,322976.0,3:17:42:56
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683db2fad6431d62bd0194cf,Dead,Scarface Assassin II,21.0,9.0,134767047.0,14974116.333333334,338727.0,3:22:05:27
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683cc96a980827bc2303e4a1,Dead,Luckynumber7,6.0,24.0,362688536.0,15112022.333333334,278933.0,3:05:28:53
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683abcdc128a17027e04c3f3,Dead,Al Big Time Spilotro,21.0,9.0,136481046.0,15164560.666666666,144646.0,1:16:10:46
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a0198f3411d07fe078feb,Dead,Marta Shifty Weasal Bastoni,12.0,18.0,273422243.0,15190124.611111112,257873.0,2:23:37:53
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683891c75a56e357a50de05c,Dead,Stefania Fat Thumbs Accardo,18.0,12.0,184825572.0,15402131.0,339454.0,3:22:17:34
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68395b5787cb9946c30e6488,Dead,Stefania Fat Thumbs Accardo,9.0,21.0,325177784.0,15484656.38095238,339921.0,3:22:25:21
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839a4b36981044f3405418b,Dead,Schoonheid Neef,21.0,9.0,140072795.0,15563643.888888888,299403.0,3:11:10:03
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b190071effe438f069185,Dead,Jimmy Rusty Sausages Porrello,5.0,25.0,389541630.0,15581665.2,329362.0,3:19:29:22
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a33928c0ff15992042dc7,Dead,Two Scoops,12.0,18.0,280676309.0,15593128.277777778,335944.0,3:21:19:04
